질문,답변
작물보호제를 사용할 때 작물별로 희석 살포물량은 어떻게 되나요?,"작물보호제 포장지에 표기된 작물별 사용약량을 지켜 물에 희석한 후 사용해주시고,  
경엽처리 시 작물별 살포물량을 준수하여 골고루 살포하십시오.
(10a당 살포물량 : 과수류(400~500L), 포도(300L), 장과류(복분자/베리류, 200~250L), 채소류/화훼류(150~200L), 인삼(200~250L)) 
희석배수를 지켜 사용해도 살포물량이 많으면 잔류 위험성이 있으니 적정 살포물량을 준수해주시기 바랍니다."
제형이 다른 작물보호제를 혼용해서 사용할 때 희석하는 순서가 있나요?,"혼용 순서에 따른 살포액의 물리성 및 약효 차이는 없으나 작업 편리성을 고려하면 수화제(수화제 > 입상수화제 > 액상수화제) > 유제 > 액제 순으로 희석하는 것이 좋습니다. 혼용 순서에 따른 희석액의 안전성 시험 결과, 희석 직후, 30분, 2시간, 24시간 후 혼용 순서에 따른 현수성, 유화성, 거품량, 층 분리 정도 등 모든 면에서 동일합니다. (현수성, 유화성 : 수화제나 유제를 물에 희석하였을 때 미세입자가 균일하게 분산하거나 떠있는 성질)
혼용 후 시간이 지날수록 살포액의 이화학성은 다소 저하되나 최소 24시간까지는 약효 발현에 전혀 문제가 없습니다.
다만, 혼용 과정에서 순두부처럼 엉기거나, 침전물이 많이 발생할 경우에는 약제 살포를 중지하고 구매처 혹은 농업기술센터, 제조회사에 문의 후 사용하시기 바랍니다."
"작물보호제와 영양제(4종복비,아미노산 등)를 혼용해서 사용해도 되나요?","가급적 혼용하지 않고 따로 사용하는 것이 안전합니다. 
작물보호제와 영양제의 혼용으로 인해 작물보호제에 화학적인 변화가 일어날 수 있으며, 그에 따라 방제효과가 떨어질 수 있습니다.
또한 영양제의 성분이 작물보호제의 과량 흡수를 유도할 수 있어, 약해 발생 및 작물보호제 잔류 등이 우려됩니다."
작물보호제의 유효기한 및 제조일자를 확인할 수 있나요?,"작물보호제 포장지에 약효보증기간이 표기되어 있으므로 제품 구입 시 확인해주시기 바랍니다.
작물보호제는 시간이 지날수록 약효를 나타내는 주성분이 분해되므로 약효보증기간 내의 제품을 사용해야 합니다.  
일반적으로 약효보증기간이 지나면 아주 서서히 작물보호제의 성분이 분해되기 때문에, 약효보증기간을 1~2년 경과한다고 해도 작물에 큰 해를 미치지는 않습니다. 그러나 약효보증기간을 3년 이상 경과한 제품은 제형상 변질의 우려가 있으니 사용하지 않는 것이 좋습니다.
작물보호제 제조일자는 제품에 표기된 모집단번호로 확인할 수 있으며, 모집단번호는 제조년월이 제품 겉면에 표기되어있습니다.(1812-5 : 18년 12월 생산된 제품)"
작물보호제 포장지에 표기되어 있는 '상표명'과 '품목명'의 차이는 무엇인가요?,"품목명'이란 유효성분의 함량 및 제제 형태가 동일한 작물보호제에 부여한 이름을 말합니다. 예를 들면, fenobucarb(페노뷰카브)라는 유효성분으로 제조한 작물보호제 제품의 품목명은 제제 형태에 따라 '페노뷰카브 유제', '페노뷰카브 분제', '페노뷰카브 미립제' 등으로 구분됩니다.
'상표명'이란 제조회사가 자사 제품에 붙인 이름으로, 독자적인 사용권을 갖게 됩니다. 예를 들어 '멸사리', '밧사', '아리비피' 는 각각 팜한농, 경농, 농협케미컬에서 '페노뷰카브 유제'라는 품목에 명명한 상표로서, 이 상표에 대해서는 회사별로 독자적인 사용권을 갖게 됩니다."
작물보호제는 하루 중 언제 살포하는 것이 효과적인가요?,"살균제는 곰팡이 등 병원균의 활동이 왕성해지고, 식물이 기공을 열고 광합성을 하는 오전에 사용하는 것이 좋습니다.             
살충제의 경우 대부분의 해충들이 한낮에는 잎 뒷면이나 줄기 껍질 틈 속에 숨어 있으므로 해충의 활동이 활발해지는 오후 4~5시 이후로 사용하는것이 좋습니다. 제초제는 한낮 고온을 피해 이른 오전이나 늦은 오후에 살포해야 합니다.         
또한, 여러 작물보호제를 혼용하여 사용하는 경우 광분해를 줄이기 위해 가능한 늦은 오후에 살포하는것이 좋습니다. 
특히 여름철에는 한낮 고온에 약제 살포를 피해야 작물이 받는 스트레스를 줄일 수 있고, 약해 발생도 줄어들게 됩니다."
작물보호제를 사용하고 난 뒤 빈 병은 어떻게 처리하나요?,"사용한 빈 작물보호제 용기를 마을 수집장에 모아두면 한국환경공단에서 수거하고 있습니다.
자세한 사항은 한국환경공단(배출 및 수거 안내 1661-6620)에서 안내받으실 수 있습니다."
작물보호제의 양을 표시하는 단위에는 어떤 것들이 있나요?,"작물보호제의 양을 표시하는 단위는 '무게', '농도' 및 '부피'로 나눠볼 수 있습니다.
'무게'의 단위는 톤(ton)＞ 키로그램(kg) ＞ 그램(g) ＞ 미리그램(mg) ＞ 마이크로그램(㎍)＞ 나노그램(ng)＞ 피코그램(pg) 순입니다. 각 단계는 1,000배의 차이가 나므로, 0.001kg과 1g 및 1,000mg은 같은 무게에 해당됩니다. 
작물보호제 잔류량을 표시하는 단위는 마이크로그램(㎍) 이하의 단위를 사용하는 것이 일반적입니다.
'농도'의 단위는 작물보호제의 유효성분 함량이나 잔류허용기준 등을 나타내는 데 사용하고, 퍼센트(%) ＞ 피피엠(ppm) ＞ 피피비(ppb) ＞ 피피티(ppt) 순입니다. 퍼센트(%)는 일상 생활에서 자주 사용하는 백분율로, 시료 100g 중 작물보호제 성분이 1g 함유되어 있으면 1%가 됩니다.
피피엠(ppm)은 백만분의 1을 나타내고, 피피비(ppb)는 10억분의 1, 피피티(ppt)는 1조분의 1을 나타냅니다.
'부피'의 단위는 킬로리터(㎘) ＞ 리터(ℓ) ＞ 밀리리터(㎖ 또는 cc) > 마이크로리터(㎕) 순이며 각 단계는 역시 1,000배의 차이가 납니다. 
'무게'와 '부피'의 단위는 서로 비교할 수 있는데, 상온에서 물 1ℓ의 무게가 약 1kg 정도이므로 상대가 되는 무게와 부피의 단위는 같은 양이 됩니다."
같은 종자여도 원산지 표시가 다른 이유는 무엇인가요?,"경작지 및 인력 부족 등의 요인으로 한 종자를 국내에서 모두 채종하기는 어렵습니다. 
따라서 일부는 중국, 동남아 등 다른 국가에서도 채종합니다. 
규정상 채종된 지역을 원산지로 표시해야 하기 때문에 같은 품종이라도 원산지가 다를 수 있습니다. 
원산지 차이가 있더라도 모두 동일한 원종으로 재배·채종하여 해당 품종이 지니고 있는 특성에는 차이가 없습니다."
종자의 발아보증시한 및 포장일자를 어디에서 확인할 수 있나요?,종자 제품 포장지 뒷면 하단에 발아보증시한과 포장년월이 기재되어 있습니다.
시설 재배 중 가스 피해를 받아 작물이 잘 크지 못하고 시들시들한데 어떻게해야 하나요?,"우선 통풍 및 환기가 필요합니다. 약제 살포로 가스 피해를 줄이기 어렵기 때문에, 미발효 퇴비 등을 사용할 시에는 작물 정식 20~30일 전에 처리하여 가스를 모두 환기시켜 주도록 합니다. "
완효성비료를 기비로 사용하면 추비는 생략해도 되나요?,"완효성 비료는 작물의 생육에 맞춰 비료성분이 용출되도록 만들어져 있어, 일반적인 상황에서는 추비를 생략해도 정상적인 수확이 가능합니다. 특히, 한번에측조는 100% 코팅이 되어있어 추비가 필요 없도록 설계되어 있습니다. 하지만 다수확을 원하거나, 당해년도 이상기온이나 병해충 다발생 등으로 인해 생육이 부진한 경우에는 이삭거름을 추가로 시비할 수 있습니다."
일반 화학비료와 퇴비를 같이 시비해도 되나요?,"미생물 등에 의해 충분히 발효된 퇴비의 경우 큰 지장은 없으나, 미발효된 퇴비와 화학비료를 혼용하면 양분의 유실과 가스장해가 발생하므로 따로 시비하여 주시기 바랍니다."
