crop_code,crop_name
00044,수박(시설)
00001,보리(중북부)
00046,가지(노지)
00002,맥주보리
00047,가지(시설)
00003,콩
00048,시금치(노지)
00004,콩(개간지)
00049,시금치(시설)
00005,옥수수
00050,호박(노지)
00006,단옥수수
00051,호박(시설)
00007,고구마
00052,쑥갓(노지)
00009,참깨
00053,쑥갓(시설)
00011,땅콩
00054,셀러리(노지)
00013,양파
00055,셀러리(시설)
00017,"감자(남부,봄재배)"
00056,부추(노지)
00018,"감자(남부,가을재배)"
00057,부추(시설)
00019,고추(노지)
00058,엔다이브
00020,고추(시설)
00059,오너멘탈케일
00021,마늘
00060,스위트팬넬
00023,생강(노지)
00061,사과(1-4년생)
00024,생강(시설)
00062,사과(5-9년생)
00025,토마토(노지)
00063,사과(10-14년생)
00026,토마토(시설)
00064,사과(15-19년생)
00027,오이(노지)
00065,사과(20년생 이상)
00028,오이(시설)
00066,배(1-4년생)
00029,상추(노지)
00067,배(5-9년생)
00030,상추(시설)
00068,배(10-14년생)
00031,딸기(노지)
00069,배(15-19년생)
00032,딸기(시설)
00070,배(20년생 이상)
00033,당근
00071,포도(1-2년생)
00035,무(노지)
00072,포도(3-4년생)
00036,무(시설)
00073,포도(5-10년생)
00037,배추(노지)
00074,포도(11년생 이상)
00038,배추(시설)
00075,복숭아(1-2년생)
00039,양배추(노지)
00076,복숭아(3-4년생)
00040,양배추(시설)
00077,복숭아(5-10년생)
00041,참외(노지)
00078,복숭아(11년생 이상)
00042,참외(시설)
00082,뽕나무(신규조성)
00043,수박(노지)
00083,뽕나무
00091,감귤온주(화산)1~2년
00138,서양냉이
00092,감귤온주(화산)3~7년
00139,적하수오
00093,감귤온주(화산)8~12년
00140,황기
00094,감귤온주(화산)13~17년
00141,백지
00095,감귤만감(화산)1~5년
00142,황련
00096,감귤만감(화산)6~10년
00143,스테비아
00097,감귤만감(화산)11~19년
00144,박하
00098,감귤만감(화산)20년이상
00145,맥문동
00099,감귤온주(비화)1~2년
00146,율무
00100,감귤온주(비화)3~7년
00147,향부자
00101,감귤온주(비화)8~12년
00148,더덕
00102,감귤온주(비화)13~17년
00149,목초(조성용)
00103,감귤만감(비화)1~5년
00150,목초(관리용)
00104,감귤만감(비화)6~10년
00151,청예옥수수
00105,감귤만감(비화)11~19년
00152,청예옥수수(화산회)
00106,감귤만감(비화)20년이상
00153,잎들깨(노지)
00107,밤나무(1년생)
00154,참취
00108,밤나무(2년생)
00155,곰취
00109,밤나무(3년생)
00156,보리(화산회토)
00110,밤나무(4년생)
00157,보리(비화산회토)
00111,밤나무(5-6년생)
00158,대두(화산회토)
00112,밤나무(7-9년생)
00159,대두(비화산회토)
00113,밤나무(10-14년생)
00160,고구마(화산회토)
00114,밤나무(15-19년생)
00161,고구마(비화산회토)
00115,밤나무(20-25년생)
00162,감자(봄겨울재배 화산회토)
00121,장미
00163,감자(가을재배 비화산회토)
00122,국화
00164,밭벼(화산회토)
00124,카네이션(시설재배)
00166,참깨(화산회토)
00125,구근류(시설재배)
00167,참깨(비화산회토)
00126,1년초(절화)
00168,"땅콩(기경지,화산회토)"
00127,1년초(노지)
00169,"땅콩(기경지,비화산회토)"
00128,"연초(담배,황색종)"
00170,감자(봄겨울재배 비화산회토)
00129,"연초(담배, 버이리종)"
00171,감자(가을재배 화산회토)
00130,유채(고정품종)점파
00174,유채(화산회토)
00131,유채(1대잡종)점파
00175,유채(비화산회토)
00132,백하수오
00176,마늘(화산회토)
00133,지황(재래종)
00177,마늘(비화산회토)
00135,반하
00178,배추(고냉지 노지)
00136,구약감자
00180,곤달비
00137,구기자
00181,피망(시설)
00182,꽈리고추(시설)
00235,영아자
00183,방울토마토(시설)
00237,"유자(화산,1~5년)"
00185,머위
00238,"유자(화산,6~10년)"
00186,양상추(시설 평야지)
00239,"유자(화산,11~19년)"
00188,비트
00240,"유자(화산,20년이상)"
00189,양상추(시설 고랭지)
00241,"유자(비화산,1~5년)"
00190,잎들깨(시설)
00242,"유자(비화산,6~10년)"
00191,밭미나리(시설)
00243,"유자(비화산,11~19년)"
00192,치커리(시설)
00244,"유자(비화산,20년이상)"
00193,케일(시설)
00245,작약(1년)
00194,브로콜리
00247,작약(3년)
00195,콜리플라워(시설)
00249,당귀
00196,삼엽채(시설)
00250,일천궁
00197,단감(1-2년생)
00251,지황(신품종)
00198,단감(3-4년생)
00305,벼(염해답-숙답)
00199,단감(5-6년생)
00307,보리(남부)
00200,단감(7-8년생)
00308,"감귤(18년생 이상, 화산회토)"
00201,단감(9-10년생)
00309,"감귤(18년생 이상, 비화산회토)"
00202,단감(11년생 이상)
00344,기장
00205,누룩치
00311,강낭콩
00207,"감자(준고랭지,고랭지)"
00313,메밀
00208,신선초
00314,대추(1년생)
00209,당근(화산회토)
00315,"땅두릅(독활,뿌리)"
00210,당근(비화산회토)
00317,멜론(시설재배)
00211,무(화산회토)
00323,토란
00212,무(비화산회토)
00324,들깨(종실용)
00213,"양파(봄재배, 화산회토)"
00330,나리
00214,"양파(봄재배, 비화산회토)"
00331,미역취(시설재배)
00215,"양파(가을재배, 화산회토)"
00332,황금
00216,"양파(가을재배, 비화산회토)"
00333,매실(1~2년)
00223,"감귤(1~2년생, 화산회토)"
00334,매실(3~4년)
00224,"감귤(3~7년생, 화산회토)"
00335,매실(5~6년)
00225,"감귤(8~12년생, 화산회토)"
00336,매실(7~8년)
00226,"감귤(13~17년생, 화산회토)"
00337,매실(9년 이상)
00227,"감귤(1~2년생, 비화산회토)"
00339,갓
00228,"감귤(3~7년생, 비화산회토)"
00340,고사리(1-2년)
00229,"감귤(8~12년생, 비화산회토)"
00345,다래(토종다래)
00230,"감귤(13~17년생, 비화산회토)"
00487,씀바귀
00232,참나물
00248,홍화
00234,모시대
00343,근대
00346,돌나물
00416,헛개나무
00351,블루베리(1-2년)
00246,작약(2년)
00352,나무딸기(산딸기)
00419,꾸지뽕나무
00354,산수유(성목)
00420,우엉
00367,조
00424,서리태콩
00356,수수
00428,어성초
00187,열무
00430,벼(염해답-미숙답)
00359,애호박
00432,청경채
00360,야콘
00433,연근
00361,앵두
00434,오미자(2년)
00362,어수리
00435,오미자(3년이상)
00364,오갈피
00436,대추(2년생)
00365,오미자(1년)
00437,대추(3년생)
00371,팥
00439,대추(4년생)
00372,차나무(1년생)
00440,대추(5년생)
00373,차나무(2년생)
00441,대추(6년이상)
00374,차나무(3년생)
00445,흰민들레
00375,차나무(4년생)
00411,유자(6~10년)
00376,차나무(5년생)
00453,돌배
00377,차나무(6년생)
00454,잔대(뿌리)
00378,차나무(7년이상)
00410,유자(1~5년)
00380,쪽파(노지)
00457,감초
00381,참다래(1년생)
00460,강황(개간지)
00382,참다래(2년생)
01090,한지형잔디(전량밑거름)
00383,참다래(3년생)
00459,석잠풀(초석잠)
00384,참다래(4년생)
00463,엉겅퀴
00385,참다래(5년생)
00466,"아피오스(인디언감자, 콩감자)"
00386,참다래(6년생)
00473,무화과(1-2년)
00387,참다래(7년생)
00474,무화과(3-4년)
00388,참다래(8년이상)
00475,무화과(5-6년)
00391,복분자(1년생)
00476,무화과(7-9년)
00392,복분자(2년생 이상)
00477,무화과(10년이상)
00394,이탈리안라이그라스
00478,자두(1-2년)
00396,"마(장마,단마)"
00479,자두(3-4년)
00347,두릅
00480,자두(5-6년)
00405,단호박
00481,자두(7-8년)
00412,유자(11~19년)
00482,자두(9년이상)
00413,유자(20년이상)
00483,청예용수수류
00414,밀
00486,"귀리(사료, 하파용)"
00415,녹두
00492,아로니아(1~2년)
00496,방풍
00588,작두콩
00500,살구(1-2년생)
00589,아마란스
00501,살구(3-4년생)
00591,애플수박
00502,살구(5-7년생)
00597,리시안서스
00503,살구(8-10년생)
00600,단삼
00504,살구(11년이상)
00602,고려엉겅퀴(곤드레)
00507,블랙커런트(1~2년)
00604,더위지기(인진쑥)
00508,호밀(사료용)
00615,플럼코트
00509,청보리
00618,민들레
00512,아욱
00619,식방풍
00513,여주
00631,쥐눈이콩
00514,삼백초
00637,주키니호박
00506,체리
00640,초지(방목용)
00490,구절초
00646,고추냉이(근경)
00497,삼채
00663,배암차즈기(곰보배추)
00519,눈개승마(삼나물)
00666,안개초
00520,황칠나무
00675,"목초(관리용, 두과목초)"
00521,얌빈
00676,"목초(관리용, 방목초지)"
00523,블루베리(3-4년)
00677,유채(사료용)
00524,블루베리(5-6년)
00678,배추(화산회토)
00525,블루베리(7년)
00679,양배추(화산회토)
00526,블루베리(8년이상)
00682,"참다래(1년생,화산회토)"
00528,강활
00683,"참다래(2년생,화산회토)"
00530,동부콩
00684,"참다래(3년생,화산회토)"
00532,섬쑥부쟁이
00685,"참다래(4년생,화산회토)"
00544,보통옥수수(사양질)
00686,"참다래(5년생,화산회토)"
00545,보통옥수수(식양질)
00687,"참다래(6년생,화산회토)"
00547,해바라기
00689,"참다래(8년이상,화산회토)"
00551,블랙베리
00690,메밀(화산회토)
00553,대파(노지)
00688,"참다래(7년생,화산회토)"
00554,모시풀
00691,메밀(비화산회토)
00555,대파(시설)
00692,더덕(화산회토)
00556,쪽파(시설)
00693,브로콜리(화산회토)
00557,결명자
00694,브로콜리(비화산회토)
00560,프리지아
00695,"참다래(1년생,비화산회토)"
00575,케나프
00696,"참다래(2년생,비화산회토)"
00540,망고
00697,"참다래(3년생,비화산회토)"
00577,난지형 잔디
00699,"참다래(5년생,비화산회토)"
00578,한지형 잔디
00700,"참다래(6년생,비화산회토)"
00586,모링가
00701,"참다래(7년생,비화산회토)"
00716,피(사료용)
00785,얼갈이배추(노지)
00718,병풍취(병풍쌈)
00786,얼갈이배추(시설)
00698,"참다래(4년생,비화산회토)"
00787,방울양배추
00727,케나프(간척지)
00788,"양배추(적채, 노지)"
00733,떫은감(1-2년생)
00789,"양배추(적채, 시설)"
00734,떫은감(3-4년생)
00790,두메부추(노지)
00735,떫은감(5-6년생)
00791,두메부추(시설)
00736,떫은감(7-8년생)
00792,비름나물
00737,떫은감(9-10년생)
00793,갯기름나물
00738,떫은감(11년생 이상)
00794,서양자두(푸룬)
00741,감귤온주(화산)18년이상
00795,뽕나무(오디)
00742,감귤온주(비화)18년이상
00796,감(대봉)
00743,"포도(샤인머스캣, 5년이상)"
00797,트리티케일
00702,"참다래(8년이상,비화산회토)"
00773,귀리
00754,고구마순
00798,수단그라스
00758,알타리무
01000,"포도(샤인머스캣,1~2년)"
00759,수리취(1년)
01001,"포도(샤인머스캣,3~4년)"
00760,수리취(2년)
01009,부지화(비화)1~5년
00761,아로니아(3년이상)
01010,부지화(비화)6~10년
00762,허니베리(1~2년)
01011,부지화(비화)11~15년
00763,허니베리(3년이상)
01012,부지화(비화)16~20년
00764,블랙커런트(3년이상)
01013,부지화(비화)21년이상
00765,용담
01015,부지화(화산)1~5년
00766,코스모스
01016,부지화(화산)6~10년
00767,알스트로메리아
01017,부지화(화산)11~15년
00768,"비트(화산,비화산-봄)"
01018,부지화(화산)16~20년
00769,"비트(화산,비화산-가을)"
01019,부지화(화산)21년이상
00770,콜라비(비화산회토)
01038,콜라비(화산회토)
00771,방울양배추(화산회토)
01043,이탈리안라이그라스(화산회토)
00772,방울양배추(비화산회토)
01051,콩(논재배)
00775,귀리(비화산회토)
01065,시래기용무
00776,귀리(화산회토)
01074,"마늘(비화산회토,전량밑거름)"
00777,완두콩
01075,"마늘(화산회토,전량밑거름)"
00778,콩(잎수확용)
00310,논미나리
00779,맷돌호박
01077,"목초(화본과,추비용)"
00780,복수박
01078,루바브(대황)
00781,송이토마토
00635,수세미
00782,울외
00450,순무
00783,파프리카
00418,돼지감자
00784,갯방풍(해방풍)
00325,달래
00134,도라지(길경)
00493,콜라비
01035,강황(기경지)
00236,산마늘(명이나물)
00608,냉이
00467,고들빼기
00522,고사리(3년이상)
00398,세발나물
00355,석류
01091,일당귀
01068,호밀
01093,망고(화산회토)
01094,유채나물(비화산회토)
01095,유채나물(화산회토)
00720,레몬
01092,레몬(화산회토)
00456,삽주
00574,고수(방아풀)
00357,"아스파라거스(1년,정식)"
00755,아스파라거스(2년)
00756,아스파라거스(3년)
00757,아스파라거스(4년이상)
00165,밭벼(비화산회토)
